35THR N047.53.18.161 E091.40.03.850
48E17 N048.00.00.000 E117.00.00.000
48E18 N048.00.00.000 E118.00.00.000
48VOR N047.55.37.790 E106.39.14.440
4988E N049.00.00.000 E088.00.00.000
4989E N049.00.00.000 E089.00.00.000
4990E N049.00.00.000 E090.00.00.000
4991E N049.00.00.000 E091.00.00.000
4992E N049.00.00.000 E092.00.00.000
4993E N049.00.00.000 E093.00.00.000
4994E N049.00.00.000 E094.00.00.000
4995E N049.00.00.000 E095.00.00.000
4996E N049.00.00.000 E096.00.00.000
4997E N049.00.00.000 E097.00.00.000
4998E N049.00.00.000 E098.00.00.000
4999E N049.00.00.000 E099.00.00.000
49E00 N049.00.00.000 E100.00.00.000
49E01 N049.00.00.000 E101.00.00.000
49E02 N049.00.00.000 E102.00.00.000
49E03 N049.00.00.000 E103.00.00.000
49E04 N049.00.00.000 E104.00.00.000
49E05 N049.00.00.000 E105.00.00.000
49E06 N049.00.00.000 E106.00.00.000
49E07 N049.00.00.000 E107.00.00.000
49E08 N049.00.00.000 E108.00.00.000
49E09 N049.00.00.000 E109.00.00.000
49E10 N049.00.00.000 E110.00.00.000
49E11 N049.00.00.000 E111.00.00.000
49E12 N049.00.00.000 E112.00.00.000
49E13 N049.00.00.000 E113.00.00.000
49E14 N049.00.00.000 E114.00.00.000
49E15 N049.00.00.000 E115.00.00.000
49E16 N049.00.00.000 E116.00.00.000
5090E N050.00.00.000 E090.00.00.000
5091E N050.00.00.000 E091.00.00.000
5092E N050.00.00.000 E092.00.00.000
5093E N050.00.00.000 E093.00.00.000
5094E N050.00.00.000 E094.00.00.000
5095E N050.00.00.000 E095.00.00.000
5096E N050.00.00.000 E096.00.00.000
5097E N050.00.00.000 E097.00.00.000
5098E N050.00.00.000 E098.00.00.000
5099E N050.00.00.000 E099.00.00.000
50E00 N050.00.00.000 E100.00.00.000
50E01 N050.00.00.000 E101.00.00.000
50E02 N050.00.00.000 E102.00.00.000
50E03 N050.00.00.000 E103.00.00.000
50E04 N050.00.00.000 E104.00.00.000
50E05 N050.00.00.000 E105.00.00.000
50E06 N050.00.00.000 E106.00.00.000
50E07 N050.00.00.000 E107.00.00.000
50E08 N050.00.00.000 E108.00.00.000
50E14 N050.00.00.000 E114.00.00.000
50E15 N050.00.00.000 E115.00.00.000
50E16 N050.00.00.000 E116.00.00.000
50THR N049.38.37.230 E100.14.28.320
5193E N051.00.00.000 E093.00.00.000
5198E N051.00.00.000 E098.00.00.000
5199E N051.00.00.000 E099.00.00.000
51E00 N051.00.00.000 E100.00.00.000
51E01 N051.00.00.000 E101.00.00.000
51E02 N051.00.00.000 E102.00.00.000
5299E N052.00.00.000 E099.00.00.000
52E00 N052.00.00.000 E100.00.00.000
60THR N047.50.59.759 E091.41.29.468
AGRON N047.42.09.000 E099.03.19.001
ALBAT N048.16.23.999 E093.10.03.000
ALDAR N047.49.14.369 E106.45.27.158
ALTAN N049.04.17.000 E093.43.46.999
AMINA N044.47.57.998 E102.40.41.002
AMLUN N044.49.49.001 E105.53.43.001
AMUTA N050.22.30.000 E104.52.30.000
ANAND N044.44.35.002 E109.22.48.000
ANIKU N046.22.43.000 E108.29.49.999
ANUDA N046.10.54.001 E101.46.05.999
AREBO N047.24.24.998 E103.44.58.999
ARGAT N046.49.27.001 E109.06.18.000
ARHAN N047.27.56.999 E101.28.39.000
ASGAT N048.08.39.001 E104.04.59.999
AT101 N046.25.37.949 E096.33.19.552
AT102 N046.19.30.511 E096.31.07.972
AT103 N046.21.26.240 E096.19.55.600
BADAR N047.56.44.941 E106.37.46.020
BAGAL N047.48.02.408 E106.35.25.379
BAGAT N049.00.32.000 E108.23.04.999
